customer_name,matched_core_name,matched_domain
GLP Financial Group,GLP Financial,glpfinancialgroup.com
Gold Star Mortgage Financial Group,Gold Star Mortgage Financial,goldstarfinancial.com
Grand Canyon Education,"Grand Canyon Education, Inc.",gce.com
Greyhound Lines,"Greyhound Lines, Inc.",greyhound.com
Harbor Capital Advisors,"Harbor Capital Advisors, Inc.",harborcapital.com
Haven Security Alliance,"Haven Security Alliance, LLC",havensecurityllc.com
HCO,H Company,hcompany.ai
HCR,HCR Group,hcrgroup.net
Hedstrom,Hedstrom Corporation,hedstrom.com
Henderson Brothers,"Henderson Brothers, Inc.",hendersonbrothers.com
Herrschners,"Herrschners, Inc.",herrschners.com
Hey,Hey Inc.,hey.co
HNI,HNI Corporation,hnicorp.com
HNTB Corporation,HNTB,hntb.com
Hovis,Hovis Ltd,hovis.co.uk
Hoyt Archery,Hoyt Archery Inc.,hoyt.com
HPE,HPE GROUP,hpe.eu
Hy-Vee,"Hy-Vee, Inc.",hy-vee.com/?srsltid=AfmBOopSqUPEAt2tKAiWoHyJzDGC8ASh1M3jiI-O8Q77AX0KJLJXfXtK
Hydro,"Hydro, Inc.",hydroinc.com
IAC Applications,"IAC Applications, Inc.",iacapps.com
IL,IL Group,ilgroup.com
Imperial Capital LLC,Imperial Capital Limited,imperialcap.com
Imperial Distributors,"Imperial Distributors, Inc.",imperialdist.com
Inc,Limited,limitedapp.com
Independent Financial Group,Independent Financial,ifinancial.com
Independent Solutions Wealth Management,"Independent Solutions Wealth Management, LLC",iswealthmanagement.com
Indiana Beach,Indiana Beach Inc,indianabeach.com
International Development Group,International Development LLC,westinghousesolarlights.com
Intigral,"Intigral, Inc.",intigral.com
Ironwood Industries,"Ironwood Industries, Inc.",ironind.com
Janover,Janover LLC,janoverllc.com
JCK,JCK LLC,jckluxuryliving.com
Jenni Earle,"Jenni Earle, Inc",jenniearle.com
Jesse Stutts,"Jesse Stutts, Inc.",jessestuttsinc.com
JMJ Talent Solutions,"JMJ Talent Solutions, Inc",jmjtalent.com
John W. Danforth,John W. Danforth Company,jwdanforth.com
Johnson & Johnson,"Johnson & Johnson, Inc.",jjins.com
Jumio,Jumio Corporation,jumio.com
Keiser,Keiser Corporation,keiser.com
KEV Group,Kev,kevgroup.com
Kinetic River,Kinetic River Corp.,kineticriver.com
Kitchen Stuff Plus,Kitchen Stuff Plus Inc.,kitchenstuffplus.com
Kowalski Construction,"Kowalski Construction, Inc.",kowalski.com
Lake Street Capital Markets,"Lake Street Capital Markets, LLC",lakestreetcapitalmarkets.com
Lalita,"LALITA, INC.",lalita.com
Lane Gorman Trubitt,"Lane Gorman Trubitt, LLC",lgt-cpa.com
Leonisa,LEONI,leoni.com
Leros Transportation Group,Leros Transportation,lerosbus.com
Leste,Leste Group,leste.com
Livevol,Livevol Inc,livevol.com
Luihn VantEdge Partners,"Luihn VantEdge Partners, LLC",lvepartners.com
Madison Square Garden Entertainment,Madison Square Garden Entertainment Corp.,msgentertainment.com
Malco Theatres,"Malco Theatres, Inc.",malco.com
Manhattan,Manhattan Group,manhattangroup.co
MarketJoy,"MarketJoy, Inc.",marketjoy.com
Matrix Executions LLC,Matrix Executions,matrixexecutions.com
